	f1	precision	recall	accuracy	TN	FP	FN	TP	n	selection	source	gamma	C
0	0.820717131474	0.837398373984	0.8046875	0.825581395349	110.0	20.0	25.0	103.0	47	[1, 43, 10, 11, 26, 59, 35, 19, 12, 18, 20, 24, 62, 60, 40, 56, 2, 23, 52, 9, 61, 55, 0, 21, 51, 50, 33, 32, 48, 13, 7, 54, 4, 49, 63, 42, 16, 45, 8, 6, 31, 53, 34, 47, 3, 5, 39]	ranksum	0.01	100.0
1	0.813008130081	0.847457627119	0.78125	0.821705426357	112.0	18.0	28.0	100.0	6	[40, 1, 59, 24, 46, 34]	RFE	1.0	10.0
2	0.811023622047	0.81746031746	0.8046875	0.813953488372	107.0	23.0	25.0	103.0	47	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11, 8, 59, 47, 23, 0, 32, 54, 9, 48, 22, 2, 55, 39, 13, 44, 45, 49, 50, 18, 51, 20, 3, 53, 42, 58, 4, 67, 6, 31]	mi	0.01	1000.0
3	0.811023622047	0.81746031746	0.8046875	0.813953488372	107.0	23.0	25.0	103.0	21	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42]	f-test	0.1	10.0
4	0.809338521401	0.806201550388	0.8125	0.81007751938	105.0	25.0	24.0	104.0	10	[40, 1, 59, 24, 46, 34, 54, 42, 61, 56]	RFE	1.0	10.0
5	0.809160305344	0.791044776119	0.828125	0.806201550388	102.0	28.0	22.0	106.0	10	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35]	mi	0.1	1000.0
6	0.804780876494	0.821138211382	0.7890625	0.81007751938	108.0	22.0	27.0	101.0	49	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11, 8, 59, 47, 23, 0, 32, 54, 9, 48, 22, 2, 55, 39, 13, 44, 45, 49, 50, 18, 51, 20, 3, 53, 42, 58, 4, 67, 6, 31, 27, 38]	mi	0.01	1000.0
7	0.8046875	0.8046875	0.8046875	0.806201550388	105.0	25.0	25.0	103.0	12	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12]	mi	0.1	1000.0
8	0.804511278195	0.775362318841	0.8359375	0.798449612403	99.0	31.0	21.0	107.0	7	[40, 1, 59, 24, 46, 34, 54]	RFE	10.0	1.0
9	0.803212851406	0.826446280992	0.78125	0.81007751938	109.0	21.0	28.0	100.0	54	[1, 43, 10, 35, 40, 11, 26, 56, 24, 62, 60, 59, 12, 61, 19, 0, 18, 2, 63, 23, 20, 54, 9, 46, 7, 33, 55, 8, 32, 47, 49, 42, 52, 48, 4, 13, 45, 50, 53, 3, 58, 34, 44, 51, 39, 38, 16, 6, 21, 31, 66, 22, 28, 5]	combined	0.01	1000.0
10	0.803212851406	0.826446280992	0.78125	0.81007751938	109.0	21.0	28.0	100.0	50	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11, 8, 59, 47, 23, 0, 32, 54, 9, 48, 22, 2, 55, 39, 13, 44, 45, 49, 50, 18, 51, 20, 3, 53, 42, 58, 4, 67, 6, 31, 27, 38, 29]	mi	0.01	1000.0
11	0.803212851406	0.826446280992	0.78125	0.81007751938	109.0	21.0	28.0	100.0	22	[40, 1, 59, 24, 46, 34, 54, 42, 61, 56, 58, 11, 62, 38, 60, 52, 47, 8, 23, 5, 4, 45]	RFE	0.1	10.0
12	0.803149606299	0.809523809524	0.796875	0.806201550388	106.0	24.0	26.0	102.0	48	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11, 8, 59, 47, 23, 0, 32, 54, 9, 48, 22, 2, 55, 39, 13, 44, 45, 49, 50, 18, 51, 20, 3, 53, 42, 58, 4, 67, 6, 31, 27]	mi	0.01	1000.0
13	0.803149606299	0.809523809524	0.796875	0.806201550388	106.0	24.0	26.0	102.0	24	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34, 46, 20]	f-test	0.1	10.0
14	0.803149606299	0.809523809524	0.796875	0.806201550388	106.0	24.0	26.0	102.0	46	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11, 8, 59, 47, 23, 0, 32, 54, 9, 48, 22, 2, 55, 39, 13, 44, 45, 49, 50, 18, 51, 20, 3, 53, 42, 58, 4, 67, 6]	mi	0.01	1000.0
15	0.803149606299	0.809523809524	0.796875	0.806201550388	106.0	24.0	26.0	102.0	17	[40, 1, 59, 24, 46, 34, 54, 42, 61, 56, 58, 11, 62, 38, 60, 52, 47]	RFE	0.01	1000.0
16	0.803088803089	0.793893129771	0.8125	0.802325581395	103.0	27.0	24.0	104.0	11	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63]	mi	0.1	1000.0
17	0.801619433198	0.831932773109	0.7734375	0.81007751938	110.0	20.0	29.0	99.0	55	[1, 43, 10, 35, 40, 11, 26, 56, 24, 62, 60, 59, 12, 61, 19, 0, 18, 2, 63, 23, 20, 54, 9, 46, 7, 33, 55, 8, 32, 47, 49, 42, 52, 48, 4, 13, 45, 50, 53, 3, 58, 34, 44, 51, 39, 38, 16, 6, 21, 31, 66, 22, 28, 5, 27]	combined	0.01	1000.0
18	0.8	0.819672131148	0.78125	0.806201550388	108.0	22.0	28.0	100.0	27	[1, 43, 10, 11, 26, 59, 35, 19, 12, 18, 20, 24, 62, 60, 40, 56, 2, 23, 52, 9, 61, 55, 0, 21, 51, 50, 33]	ranksum	0.1	100.0
19	0.8	0.787878787879	0.8125	0.798449612403	102.0	28.0	24.0	104.0	20	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19]	f-test	1.0	1.0
20	0.8	0.787878787879	0.8125	0.798449612403	102.0	28.0	24.0	104.0	23	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34, 46]	f-test	1.0	1.0
21	0.8	0.819672131148	0.78125	0.806201550388	108.0	22.0	28.0	100.0	49	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34, 46, 20, 23, 53, 58, 4, 49, 47, 52, 8, 3, 38, 45, 55, 9, 16, 32, 7, 66, 36, 33, 13, 17, 48, 50, 44, 28]	f-test	0.01	1000.0
22	0.798449612403	0.792307692308	0.8046875	0.798449612403	103.0	27.0	25.0	103.0	53	[1, 43, 10, 35, 40, 11, 26, 56, 24, 62, 60, 59, 12, 61, 19, 0, 18, 2, 63, 23, 20, 54, 9, 46, 7, 33, 55, 8, 32, 47, 49, 42, 52, 48, 4, 13, 45, 50, 53, 3, 58, 34, 44, 51, 39, 38, 16, 6, 21, 31, 66, 22, 28]	combined	0.01	100.0
23	0.798449612403	0.792307692308	0.8046875	0.798449612403	103.0	27.0	25.0	103.0	9	[10, 43, 56, 1, 40, 62, 61, 60, 24]	mi	0.1	1000.0
