	f1	precision	recall	accuracy	TN	FP	FN	TP	n	selection	source	gamma	C
0	0.827309236948	0.851239669421	0.8046875	0.833333333333	112.0	18.0	25.0	103.0	17	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33]	mi	0.0	100.0
1	0.822641509434	0.795620437956	0.8515625	0.817829457364	102.0	28.0	19.0	109.0	18	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11]	mi	0.0	200.0
2	0.821138211382	0.85593220339	0.7890625	0.829457364341	113.0	17.0	27.0	101.0	15	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7]	mi	0.0	100.0
3	0.8203125	0.8203125	0.8203125	0.821705426357	107.0	23.0	23.0	105.0	49	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34, 46, 20, 23, 53, 58, 4, 49, 47, 52, 8, 3, 38, 45, 55, 9, 16, 32, 7, 66, 36, 33, 13, 17, 48, 50, 44, 28]	f-test	0.0	20.0
4	0.818897637795	0.825396825397	0.8125	0.821705426357	108.0	22.0	24.0	104.0	21	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42]	f-test	0.0	100.0
5	0.818532818533	0.809160305344	0.828125	0.817829457364	105.0	25.0	22.0	106.0	42	[1, 43, 10, 35, 40, 11, 26, 56, 24, 62, 60, 59, 12, 61, 19, 0, 18, 2, 63, 23, 20, 54, 9, 46, 7, 33, 55, 8, 32, 47, 49, 42, 52, 48, 4, 13, 45, 50, 53, 3, 58, 34]	combined	0.0	100.0
6	0.817813765182	0.848739495798	0.7890625	0.825581395349	112.0	18.0	27.0	101.0	10	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35]	mi	0.0	100.0
7	0.81746031746	0.83064516129	0.8046875	0.821705426357	109.0	21.0	25.0	103.0	17	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12]	f-test	0.0	200.0
8	0.817120622568	0.813953488372	0.8203125	0.817829457364	106.0	24.0	23.0	105.0	22	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34]	f-test	0.0	100.0
9	0.816479400749	0.784172661871	0.8515625	0.81007751938	100.0	30.0	19.0	109.0	46	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11, 8, 59, 47, 23, 0, 32, 54, 9, 48, 22, 2, 55, 39, 13, 44, 45, 49, 50, 18, 51, 20, 3, 53, 42, 58, 4, 67, 6]	mi	0.0	100.0
10	0.816	0.83606557377	0.796875	0.821705426357	110.0	20.0	26.0	102.0	52	[1, 43, 10, 35, 40, 11, 26, 56, 24, 62, 60, 59, 12, 61, 19, 0, 18, 2, 63, 23, 20, 54, 9, 46, 7, 33, 55, 8, 32, 47, 49, 42, 52, 48, 4, 13, 45, 50, 53, 3, 58, 34, 44, 51, 39, 38, 16, 6, 21, 31, 66, 22]	combined	0.0	20.0
11	0.814516129032	0.841666666667	0.7890625	0.821705426357	111.0	19.0	27.0	101.0	47	[1, 43, 10, 35, 40, 11, 26, 56, 24, 62, 60, 59, 12, 61, 19, 0, 18, 2, 63, 23, 20, 54, 9, 46, 7, 33, 55, 8, 32, 47, 49, 42, 52, 48, 4, 13, 45, 50, 53, 3, 58, 34, 44, 51, 39, 38, 16]	combined	0.0	100.0
