	f	ranksum	mi	combined
0	1	1	10	1
1	43	43	43	43
2	10	10	56	10
3	11	11	1	35
4	40	26	40	40
5	26	59	62	11
6	59	35	61	26
7	35	19	60	56
8	56	12	24	24
9	24	18	35	62
10	60	20	63	60
11	62	24	12	59
12	0	62	46	12
13	61	60	19	61
14	18	40	7	19
15	2	56	26	0
16	12	2	33	18
17	54	23	11	2
18	63	52	8	63
19	19	9	59	23
20	42	61	47	20
21	34	55	23	54
22	46	0	0	9
23	20	21	32	46
24	23	51	54	7
25	53	50	9	33
26	58	33	48	55
27	4	32	22	8
28	49	48	2	32
29	47	13	55	47
30	52	7	39	49
31	8	54	13	42
32	3	4	44	52
33	38	49	45	48
34	45	63	49	4
35	55	42	50	13
36	9	16	18	45
37	16	45	51	50
38	32	8	20	53
39	7	6	3	3
40	66	31	53	58
41	36	53	42	34
42	33	34	58	44
43	13	47	4	51
44	17	3	67	39
45	48	5	6	38
46	50	39	31	16
47	44	44	27	6
48	28	28	38	21
49	5	46	29	31
50	57	27	37	66
51	37	37	52	22
52	39	58	28	28
53	27	66	66	5
54	30	29	41	27
55	41	38	65	37
56	6	17	5	36
57	14	36	64	29
58	21	22	34	17
59	31	14	57	57
60	29	30	36	41
61	22	57	14	67
62	15	41	15	14
63	67	64	16	30
64	25	25	21	64
65	51	15	25	65
66	64	67	30	15
67	65	65	17	25
