	f	ranksum	mi	combined
0	60	60	56	60
1	40	56	60	56
2	56	40	40	40
3	1	1	62	1
4	62	12	24	62
5	24	51	51	51
6	4	62	61	24
7	7	13	1	7
8	61	18	13	12
9	51	19	7	18
10	10	7	19	19
11	0	33	36	4
12	18	10	12	13
13	43	20	18	43
14	33	32	32	10
15	6	43	20	32
16	12	6	4	33
17	41	24	43	6
18	19	41	6	20
19	36	4	59	61
20	32	23	58	36
21	20	57	0	0
22	44	54	23	23
23	23	48	35	41
24	53	14	33	44
25	48	31	44	54
26	54	26	10	57
27	49	0	14	48
28	13	58	26	26
29	57	36	37	35
30	64	44	54	31
31	35	9	46	14
32	26	11	55	58
33	9	64	31	11
34	37	39	57	64
35	11	49	41	59
36	31	35	11	37
37	67	50	22	53
38	45	2	48	9
39	59	45	45	45
40	29	34	64	49
41	2	61	53	39
42	66	53	52	50
43	39	37	67	67
44	14	52	50	29
45	28	8	29	52
46	47	59	39	46
47	58	27	9	28
48	5	29	8	2
49	50	46	65	66
50	27	28	28	55
51	52	67	66	22
52	65	5	17	8
53	16	55	16	34
54	21	21	21	27
55	17	66	38	21
56	3	22	42	65
57	42	42	30	16
58	30	30	3	5
59	22	16	34	17
60	46	17	63	42
61	34	63	49	30
62	38	47	15	47
63	63	3	25	3
64	55	65	27	38
65	15	38	47	63
66	8	15	5	15
67	25	25	2	25
