	f	ranksum	mi	combined
0	60	60	60	60
1	4	56	56	62
2	61	40	40	7
3	24	1	61	24
4	0	12	24	40
5	62	51	7	32
6	33	62	36	33
7	7	7	12	1
8	6	13	62	56
9	32	18	32	4
10	53	19	13	6
11	23	33	1	23
12	44	20	18	61
13	49	32	51	13
14	64	10	19	0
15	54	43	23	36
16	31	24	6	12
17	35	4	33	43
18	67	41	26	26
19	59	6	59	31
20	1	23	4	19
21	26	57	35	64
22	29	48	46	44
23	66	54	0	10
24	40	31	58	51
25	2	14	20	54
26	43	44	11	35
27	10	0	43	20
28	11	36	57	18
29	28	64	41	59
30	47	26	64	11
31	5	9	31	53
32	36	58	22	49
33	13	2	10	58
34	56	39	37	57
35	27	11	44	14
36	21	37	34	2
37	63	50	54	29
38	65	52	48	41
39	58	35	14	46
40	16	34	49	67
41	14	53	29	48
42	45	49	50	5
43	3	61	53	27
44	22	45	52	22
45	30	27	15	50
46	20	29	9	28
47	57	46	2	37
48	19	5	42	34
49	42	59	5	9
50	46	28	21	66
51	17	55	27	21
52	50	67	28	45
53	55	8	8	52
54	8	66	67	39
55	12	22	3	47
56	51	21	45	42
57	39	30	47	63
58	9	42	39	8
59	34	16	55	3
60	38	63	30	30
61	15	17	38	55
62	41	47	63	16
63	37	65	25	65
64	18	3	66	15
65	48	15	17	17
66	52	38	65	38
67	25	25	16	25
