	f	ranksum	chi	mi	combined
0	1	1	43	61	43
1	43	43	10	43	1
2	10	10	1	1	10
3	11	11	18	10	19
4	35	26	20	60	40
5	26	35	19	35	20
6	40	19	34	56	56
7	59	20	40	58	12
8	24	18	16	19	18
9	60	12	8	59	61
10	12	24	2	46	35
11	56	59	56	33	60
12	0	62	21	12	59
13	2	2	7	40	0
14	61	52	46	32	26
15	62	60	54	34	34
16	18	40	3	20	24
17	19	56	0	24	11
18	20	61	12	63	2
19	34	9	53	11	46
20	52	21	42	7	62
21	63	0	47	0	7
22	58	48	61	51	52
23	4	23	38	62	9
24	54	33	9	23	42
25	53	51	17	31	54
26	46	13	66	18	33
27	42	32	36	26	47
28	47	31	15	22	63
29	9	4	44	6	58
30	66	50	52	42	4
31	17	7	41	5	53
32	38	55	48	47	48
33	3	53	45	13	16
34	48	34	37	4	8
35	23	63	55	55	3
36	49	6	26	9	21
37	16	42	57	54	32
38	13	16	49	8	23
39	8	54	60	25	55
40	7	5	59	38	38
41	33	47	4	48	13
42	32	46	5	64	66
43	44	3	24	65	31
44	36	8	50	52	5
45	57	44	33	28	44
46	45	49	62	16	51
47	55	45	27	44	49
48	5	58	58	3	17
49	31	27	63	66	45
50	37	37	25	53	6
51	41	28	35	45	50
52	27	66	28	49	37
53	21	29	11	2	36
54	28	57	30	14	57
55	6	17	13	21	41
56	50	38	29	37	28
57	15	22	31	30	22
58	30	41	32	50	15
59	29	39	51	29	27
60	22	36	23	57	25
61	64	30	39	41	29
62	25	14	64	36	30
63	51	25	22	15	64
64	14	15	67	17	65
65	39	64	14	27	14
66	67	67	6	39	39
67	65	65	65	67	67
