	f1	precision	recall	accuracy	TN	FP	FN	TP	n	selection	source
0	0.828125	0.828125	0.828125	0.829457364341	108	22	22	106	22	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34]	f-test
1	0.823529411765	0.826771653543	0.8203125	0.825581395349	108	22	23	105	24	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34, 46, 20]	f-test
2	0.823529411765	0.826771653543	0.8203125	0.825581395349	108	22	23	105	23	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34, 46]	f-test
3	0.821705426357	0.815384615385	0.828125	0.821705426357	106	24	22	106	53	[1, 43, 10, 35, 40, 11, 26, 56, 24, 62, 60, 59, 12, 61, 19, 0, 18, 2, 63, 23, 20, 54, 9, 46, 7, 33, 55, 8, 32, 47, 49, 42, 52, 48, 4, 13, 45, 50, 53, 3, 58, 34, 44, 51, 39, 38, 16, 6, 21, 31, 66, 22, 28]	combined
4	0.8203125	0.8203125	0.8203125	0.821705426357	107	23	23	105	41	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11, 8, 59, 47, 23, 0, 32, 54, 9, 48, 22, 2, 55, 39, 13, 44, 45, 49, 50, 18, 51, 20, 3, 53]	mi
5	0.819277108434	0.842975206612	0.796875	0.825581395349	111	19	26	102	16	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2]	f-test
6	0.819277108434	0.842975206612	0.796875	0.825581395349	111	19	26	102	25	[1, 43, 10, 11, 26, 59, 35, 19, 12, 18, 20, 24, 62, 60, 40, 56, 2, 23, 52, 9, 61, 55, 0, 21, 51]	ranksum
7	0.819277108434	0.842975206612	0.796875	0.825581395349	111	19	26	102	24	[1, 43, 10, 11, 26, 59, 35, 19, 12, 18, 20, 24, 62, 60, 40, 56, 2, 23, 52, 9, 61, 55, 0, 21]	ranksum
8	0.819277108434	0.842975206612	0.796875	0.825581395349	111	19	26	102	17	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12]	f-test
9	0.818532818533	0.809160305344	0.828125	0.817829457364	105	25	22	106	40	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11, 8, 59, 47, 23, 0, 32, 54, 9, 48, 22, 2, 55, 39, 13, 44, 45, 49, 50, 18, 51, 20, 3]	mi
