	f1	precision	recall	accuracy	TN	FP	FN	TP	n	selection	source	gamma	C
0	0.0	0.0	0.0	0.0	0	0	0	0	68	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]	no selection	0.0	100
1	0.0	0.0	0.0	0.0	0	0	0	0	1	[60]	f-test	0.0	1000
2	0.0	0.0	0.0	0.0	0	0	0	0	2	[60, 4]	f-test	0.0	200
3	0.0	0.0	0.0	0.0	0	0	0	0	3	[60, 4, 61]	f-test	0.0	100
4	0.0	0.0	0.0	0.0	0	0	0	0	4	[60, 4, 61, 24]	f-test	0.0	200
5	0.0	0.0	0.0	0.0	0	0	0	0	5	[60, 4, 61, 24, 0]	f-test	0.0	100
6	0.0	0.0	0.0	0.0	0	0	0	0	6	[60, 4, 61, 24, 0, 62]	f-test	0.0	200
7	0.0	0.0	0.0	0.0	0	0	0	0	7	[60, 4, 61, 24, 0, 62, 33]	f-test	0.0	200
8	0.0	0.0	0.0	0.0	0	0	0	0	8	[60, 4, 61, 24, 0, 62, 33, 7]	f-test	0.0	200
9	0.0	0.0	0.0	0.0	0	0	0	0	9	[60, 4, 61, 24, 0, 62, 33, 7, 6]	f-test	0.0	200
10	0.0	0.0	0.0	0.0	0	0	0	0	10	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32]	f-test	0.0	200
11	0.0	0.0	0.0	0.0	0	0	0	0	11	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53]	f-test	0.0	200
12	0.0	0.0	0.0	0.0	0	0	0	0	12	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23]	f-test	0.0	100
13	0.0	0.0	0.0	0.0	0	0	0	0	13	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23, 44]	f-test	0.0	200
14	0.0	0.0	0.0	0.0	0	0	0	0	14	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23, 44, 49]	f-test	0.0	100
15	0.0	0.0	0.0	0.0	0	0	0	0	15	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23, 44, 49, 64]	f-test	0.0	100
16	0.0	0.0	0.0	0.0	0	0	0	0	16	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23, 44, 49, 64, 54]	f-test	0.0	200
17	0.0	0.0	0.0	0.0	0	0	0	0	17	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23, 44, 49, 64, 54, 31]	f-test	0.0	100
18	0.0	0.0	0.0	0.0	0	0	0	0	18	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23, 44, 49, 64, 54, 31, 35]	f-test	0.0	100
19	0.0	0.0	0.0	0.0	0	0	0	0	19	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23, 44, 49, 64, 54, 31, 35, 67]	f-test	0.0	200
20	0.0	0.0	0.0	0.0	0	0	0	0	20	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23, 44, 49, 64, 54, 31, 35, 67, 59]	f-test	0.0	200
21	0.0	0.0	0.0	0.0	0	0	0	0	21	[60, 4, 61, 24, 0, 62, 33, 7, 6, 32, 53, 23, 44, 49, 64, 54, 31, 35, 67, 59, 1]	f-test	0.0	200
