	f	ranksum	chi	corrcoeff	mi
as_is___exclamation_ratio	64.0642701631	5.27414871967	33.3882463721	0.241763052872	0.0287209506287
as_is___period_ratio	24.3404637497	3.22388927188	2.6253363158	0.151796747511	0.0164096165156
as_is___questionmark_ratio	12.9000116225	3.12308415478	5.94722723925	0.111111160547	0.0213344608114
as_is___whitespace_ratio	3.45696475532	3.18837837835	0.00649020109207	0.0577805204128	0.021460611681
as_is___highlighters_count	15.5855194123	3.44538977195	45.0624681793	0.12197361541	0.0377937233484
as_is___paras_count	17.2824951259	2.60250070397	76.6773490446	0.128338514379	0.0226737058849
as_is___sent_count	16.5302249223	5.33319469218	15.5713125328	0.125559305399	0.00803497144617
as_is___word_count	121.266725758	11.8261689186	1777.90404223	0.324269382751	0.0803943714563
as_is___ttr	107.048411952	10.1106074526	1.0980996262	0.306562495751	0.0408046018007
as_is___max_wordlength	50.2422273035	9.55045174506	31.3722453773	0.21546275286	0.0486746069824
as_is___average_wordlength	15.5881866648	4.91674875904	0.933159687111	0.121983896746	0.0321181677506
as_is___median_wordlength	0.102363545505	0.0738335000245	0.00917114306752	0.00995889775519	0.0101581016314
as_is___spaced_words_count	1.81491995591	0.163287627699	8.45007607503	0.0418993552607	0.0
as_is___edit_distance	17.1565456369	3.02998521398	72.5945094956	0.12787768857	0.0327323153103
as_is___lengthening_counts	14.6943303494	1.25131641226	14.6803711464	0.118485434018	0.000252175030567
as_is___longest_sent_len	49.8213235058	8.92541836404	309.672748291	0.214600071078	0.0388511979912
as_is___avg_sent_len	37.4583902741	9.30239617799	179.26152637	0.187151196969	0.0611706569277
as_is___median_sent_len	36.4760732194	9.02788968142	193.268781896	0.18476582212	0.0473047405915
as_is___shortest_sent_len	4.07221313932	5.21645653488	35.0050155809	0.0626931710576	0.0205961291607
as_is___subj_ratio	1.19700586537	1.13593204269	0.0357976097653	0.0340374149965	0.0341589228731
as_is___subj_pos_ratio	26.4923388919	5.87533460915	0.787299095588	0.15820357435	0.0418402355308
as_is___subj_neg_ratio	85.5726874011	9.06246333729	3.55957800055	0.276713084784	0.0677597695347
as_is___mdash_count	0.998319269733	0.421444533991	1.68620339885	0.0310874370999	0.0
as_is___pos_type_ratio	96.7464814677	10.1397659575	6.83513382255	0.292765154518	0.0397629288162
as_is___JJR_ratio	2.42957808065	1.79241495405	1.01842914421	0.0484635211981	0.0
as_is___JJS_ratio	5.8510978111	1.93175095269	2.41363453984	0.0750846489397	0.0
as_is___RBR_ratio	2.93150918084	1.28641075572	1.39828873933	0.0532218325895	0.00100087298858
as_is___RBS_ratio	2.47657713469	0.635134720239	1.33431741207	0.0489289164908	0.0
as_is___modal_ratio	3.77230264691	3.58607955831	0.480586060314	0.0603491444237	0.017664071392
as_is___present_ratio	13.3465650933	4.51300760305	0.75102455502	0.112993797897	0.0156823059657
