	f	ranksum	chi	mi	combined
0	60	60	40	60	60
1	61	56	36	56	40
2	62	40	10	40	1
3	24	1	43	62	7
4	4	12	1	24	56
5	0	62	56	19	62
6	7	51	7	61	24
7	33	18	16	51	61
8	32	13	21	1	33
9	53	19	45	12	10
10	6	7	34	13	0
11	44	20	55	18	4
12	23	33	9	36	43
13	49	10	39	33	36
14	59	43	50	6	32
15	54	24	44	7	12
16	35	32	42	32	13
17	26	4	61	23	54
18	64	6	0	10	19
19	1	23	20	26	51
20	31	41	46	43	44
21	34	48	3	46	23
22	67	31	19	4	26
23	66	26	60	58	6
24	47	0	54	0	53
25	11	57	12	35	34
26	29	11	41	37	18
27	40	54	53	31	31
28	28	14	4	59	20
29	5	9	2	54	59
30	13	44	17	20	46
31	2	36	18	48	64
32	10	2	51	64	45
33	46	64	33	53	35
34	30	52	47	50	49
35	43	35	49	57	2
36	36	59	57	11	50
37	27	58	67	22	9
38	14	61	66	45	41
39	3	50	24	41	11
40	63	53	62	29	57
41	56	34	8	34	39
42	45	49	13	14	29
43	65	37	29	44	14
44	17	39	5	28	21
45	16	45	32	2	66
46	58	27	28	39	67
47	9	5	26	49	28
48	21	21	37	8	58
49	15	28	31	55	3
50	12	29	64	25	5
51	22	8	59	27	55
52	50	66	14	66	47
53	39	67	15	9	48
54	51	47	23	67	16
55	55	3	30	5	37
56	41	30	27	38	27
57	42	46	65	17	17
58	57	22	35	3	8
59	25	17	38	21	30
60	20	38	48	30	42
61	19	55	25	15	22
62	8	63	11	63	15
63	38	65	63	16	63
64	18	15	6	52	65
65	37	25	58	47	52
66	48	16	52	65	25
67	52	42	22	42	38
