	f	ranksum	chi	mi	combined
0	1	1	43	60	1
1	43	43	10	1	10
2	40	10	1	56	43
3	10	26	18	10	40
4	59	11	20	59	56
5	11	35	19	24	19
6	26	12	40	12	20
7	35	59	34	61	18
8	56	19	8	43	12
9	24	62	16	19	59
10	60	24	3	20	26
11	62	20	56	40	61
12	0	18	46	62	60
13	61	60	2	46	24
14	2	40	7	26	62
15	12	56	47	11	11
16	18	2	54	18	34
17	34	52	21	23	35
18	19	23	42	34	0
19	20	61	0	45	46
20	46	9	12	35	52
21	53	0	53	64	3
22	58	21	38	16	47
23	52	55	61	52	2
24	54	51	36	66	16
25	47	13	55	51	54
26	42	33	66	58	8
27	3	50	45	33	23
28	23	48	9	13	7
29	4	32	17	31	9
30	63	31	41	8	42
31	55	47	52	22	53
32	38	7	39	3	45
33	49	3	48	47	21
34	66	4	44	0	55
35	8	6	15	32	66
36	16	5	49	54	33
37	9	63	26	37	58
38	13	53	50	17	13
39	7	34	57	6	48
40	48	42	60	7	38
41	17	16	5	9	50
42	45	46	59	21	4
43	36	54	37	36	63
44	33	49	24	38	17
45	32	45	4	42	49
46	5	39	33	50	32
47	50	8	62	63	36
48	57	44	28	14	51
49	44	58	63	25	31
50	41	28	58	53	5
51	28	27	25	4	37
52	39	37	35	49	44
53	37	66	29	5	39
54	21	57	30	48	6
55	31	29	11	29	41
56	6	41	27	55	57
57	29	17	13	27	64
58	30	38	23	15	28
59	27	22	32	44	22
60	15	36	51	57	15
61	22	30	31	41	29
62	25	64	67	39	27
63	51	25	22	28	25
64	64	15	64	30	30
65	14	14	14	2	14
66	67	67	6	65	67
67	65	65	65	67	65
