	f	ranksum	chi	mi	combined
0	25	60	25	60	60
1	60	56	40	56	7
2	61	40	36	40	40
3	4	1	56	62	1
4	62	51	1	61	56
5	24	12	10	24	62
6	0	62	7	1	4
7	7	7	43	51	33
8	33	13	16	13	24
9	6	18	21	12	61
10	32	19	45	7	36
11	53	33	34	32	32
12	44	20	9	36	10
13	23	32	55	33	0
14	49	6	20	4	43
15	64	24	39	6	54
16	54	10	19	18	13
17	31	4	50	43	44
18	35	43	44	20	12
19	59	41	42	19	51
20	1	57	61	10	6
21	67	23	0	54	20
22	26	48	60	58	19
23	34	54	46	26	23
24	29	31	3	23	31
25	66	14	41	35	34
26	40	0	54	59	53
27	28	36	12	0	26
28	47	44	4	31	64
29	11	64	53	46	49
30	13	26	17	37	41
31	5	58	51	41	25
32	36	9	33	11	9
33	30	11	49	57	46
34	14	39	67	48	35
35	27	2	2	44	59
36	46	37	57	22	45
37	10	34	66	64	50
38	58	53	47	8	18
39	43	49	24	50	57
40	2	61	62	55	58
41	56	52	13	49	14
42	65	50	29	53	39
43	45	35	32	27	29
44	3	45	28	29	11
45	9	59	14	28	67
46	16	27	64	42	28
47	21	29	5	9	55
48	17	28	31	34	48
49	22	5	48	45	2
50	63	8	37	14	21
51	50	46	26	39	16
52	12	67	8	3	47
53	41	55	23	47	37
54	39	21	65	30	27
55	15	66	30	65	3
56	51	22	59	67	42
57	20	30	18	5	66
58	55	42	27	2	5
59	19	16	35	21	30
60	42	47	15	15	8
61	57	63	6	16	17
62	8	3	58	52	22
63	48	17	52	17	65
64	52	65	11	38	52
65	37	38	63	25	15
66	38	15	22	63	63
67	18	25	38	66	38
