	index	f	ranksum	chi	mi
as_is___exclamation_ratio	0.0	64.0642701631	5.27414871967	33.3882463721	0.0118661477115
as_is___long_words_count	1.0	211.882291543	13.7475061195	693.068399284	0.0945900677643
as_is___wh_pronouns	2.0	58.4099254167	6.94472277805	45.1071915175	0.0337391719428
as_is___ellipsis_count	3.0	28.9534263245	3.40779612807	68.3391092055	0.0313118388979
as_is___period_ratio	4.0	24.3404637497	3.22388927188	2.6253363158	0.038829870343
as_is___questionmark_ratio	5.0	12.9000116225	3.12308415478	5.94722723925	0.0394427768581
as_is___whitespace_ratio	6.0	3.45696475532	3.18837837835	0.00649020109207	0.0198200286562
as_is___highlighters_count	7.0	15.5855194123	3.44538977195	45.0624681793	0.0476488598257
as_is___paras_count	8.0	17.2824951259	2.60250070397	76.6773490446	0.0252108520343
as_is___sent_count	9.0	16.5302249223	5.33319469218	15.5713125328	0.0344080799745
as_is___word_count	10.0	121.266725758	11.8261689186	1777.90404223	0.0751695947749
as_is___ttr	11.0	107.048411952	10.1106074526	1.0980996262	0.0434646231236
as_is___max_wordlength	12.0	50.2422273035	9.55045174506	31.3722453773	0.0577896437208
as_is___average_wordlength	13.0	15.5881866648	4.91674875904	0.933159687111	0.0337108314806
as_is___median_wordlength	14.0	0.102363545505	0.0738335000245	0.00917114306752	0.0
as_is___spaced_words_count	15.0	1.81491995591	0.163287627699	8.45007607503	0.0170115023677
as_is___edit_distance	16.0	17.1565456369	3.02998521398	72.5945094956	0.0214418232059
as_is___lengthening_counts	17.0	14.6943303494	1.25131641226	14.6803711464	0.0
as_is___longest_sent_len	18.0	49.8213235058	8.92541836404	309.672748291	0.0545309784833
as_is___avg_sent_len	19.0	37.4583902741	9.30239617799	179.26152637	0.0667144985198
as_is___median_sent_len	20.0	36.4760732194	9.02788968142	193.268781896	0.0637010743532
as_is___shortest_sent_len	21.0	4.07221313932	5.21645653488	35.0050155809	0.00901664683264
as_is___subj_ratio	22.0	1.19700586537	1.13593204269	0.0357976097653	0.0451425981456
as_is___subj_pos_ratio	23.0	26.4238838348	5.93969159506	0.793165654139	0.0529514993557
as_is___subj_neg_ratio	24.0	85.4716231329	9.03840757071	3.57403901729	0.0609145313428
as_is___mdash_count	25.0	0.998319269733	0.421444533991	1.68620339885	0.0
as_is___pos_type_ratio	26.0	96.7464814677	10.1397659575	6.83513382255	0.0420200711699
as_is___JJR_ratio	27.0	2.42957808065	1.79241495405	1.01842914421	0.0
as_is___JJS_ratio	28.0	5.8510978111	1.93175095269	2.41363453984	0.0605280879982
as_is___RBR_ratio	29.0	2.93150918084	1.28641075572	1.39828873933	0.0
as_is___RBS_ratio	30.0	2.47657713469	0.635134720239	1.33431741207	0.0
as_is___modal_ratio	31.0	3.77230264691	3.58607955831	0.480586060314	0.00972087678411
as_is___present_ratio	32.0	13.3465650933	4.51300760305	0.75102455502	0.00966030563625
as_is___past_ratio	33.0	14.1362482078	4.89425505522	2.55360333893	0.0273781327138
as_is___rep_punc_len_avg	34.0	37.8442072216	3.06893264559	142.289153829	0.0326869028793
as_is___non_alphanum_ratio	35.0	95.7648798249	9.55815792137	1.64046576515	0.045613911534
as_is___blacklist_CAPS	36.0	14.6667518901	0.975976815557	24.4463638987	0.0
as_is___mixed_case_word_count	37.0	4.21215542824	1.46448591092	5.1351991491	0.0
as_is___noise_count	38.0	19.6291643392	1.24652608645	26.460186072	0.00622694096135
as_is___urbdict_only	39.0	4.42758553903	2.61957925687	9.74406614152	0.00561079490023
as_is___blacklist	40.0	124.717343778	7.13852269842	159.498390561	0.0918515586306
as_is___no_dict	41.0	6.46473245825	1.26225085162	11.6087948562	0.015803188599
as_is___modified_tokens_count	42.0	29.8350135917	3.03789966533	34.8812950215	0.0109273711938
as_is___in_dict	43.0	129.384491066	11.9496760146	1838.58543091	0.0850924079239
as_is___polite	44.0	8.09696240502	2.31476874266	8.98672934603	0.00164777828005
as_is___imperative_count	45.0	14.6690894396	2.70268099596	16.0672586463	0.0129450794934
per_sent___sent_endings_count	46.0	34.9604546724	2.85409694665	46.4846645548	0.0493410335976
per_sent___ellipsis_count	47.0	31.3036539172	3.48360824093	38.7657574346	0.0364694326762
per_sent___modal_count	48.0	15.5384959837	4.74127704177	9.14437422044	0.0
per_sent___imperative_count	49.0	18.9411586837	2.80244473788	7.5354832256	0.0
per_sent___one_char_token_count	50.0	9.78336398446	4.8622848373	6.75832886026	0.0277757550862
per_sent___connectors_count	51.0	0.324164390943	5.11304797984	0.50254053452	0.011845765477
per_sent___wh_pronouns	52.0	32.6491779063	6.40872697463	10.4325332229	0.0121758747161
per_sent___rep_punc_count	53.0	33.1869633947	3.10121527607	31.2001668618	0.0339301307687
per_sent___paras_count	54.0	31.5322234813	2.81671157781	36.0233847448	0.0167566117267
per_sent___urbdict_only	55.0	20.1993568986	5.12075415614	19.2468410021	0.01378953733
per_sent___blacklist	56.0	95.2662701674	7.10873936837	59.2181453577	0.0747654137574
per_sent___no_dict	57.0	9.07931250076	1.45334319653	6.42210526179	0.0
per_tokens___no_dict	58.0	32.9881391063	2.1222184725	1.71011756074	0.0430696801761
per_tokens___urbdict_only	59.0	108.565778116	9.54659865691	5.55202354397	0.0835957656508
per_tokens___blacklist	60.0	80.3320823787	7.17476255457	6.35897300463	0.0866762096551
per_tokens___all_caps_count	61.0	60.9999785486	5.70892285592	26.3103760922	0.0693507603358
per_tokens___long_words_count	62.0	69.7128689565	9.18826145863	2.52433785926	0.0516580827113
per_tokens___modified_tokens_count	63.0	23.6956071545	3.12152209201	1.99767567127	0.0178718163745
per_tokens___num_count	64.0	0.206939496972	0.595145913456	0.0127238579817	0.00402110342901
per_imperatives___imperative_indirect	65.0	6.73451106504e-05	0.00062482510599	6.73451062556e-05	0.0
per_imperatives___imperative_strength	66.0	18.088381762	1.46167419795	16.4947502908	0.0
per_imperatives___imperative_polite	67.0	0.0952532098819	0.00541515091858	0.0920593088197	0.0
