	f	ranksum	chi	corrcoeff	mi
as_is___exclamation_ratio	369.345857514	11.4888221427	227.258497002	0.262617011231	0.0466959556898
as_is___long_words_count	68.5056750136	26.0228505585	4506.05227164	0.116419017749	0.072161695232
as_is___wh_pronouns	10.1453940246	7.91474194738	58.1411918058	0.0450626704894	0.0123882937521
as_is___ellipsis_count	7.07104645788	1.04253715174	178.630486433	0.0376320582657	9.41562825159e-05
as_is___period_ratio	436.813091746	17.2369006921	105.300169647	0.28381510481	0.0541432782828
as_is___questionmark_ratio	22.3159552012	3.73463313884	12.0994768335	0.0667516308902	0.0
as_is___whitespace_ratio	187.427306619	17.6758968229	1.39676068647	0.190338769174	0.0480087533662
as_is___highlighters_count	303.939653374	22.559168333	4137.82777442	0.239700159525	0.0812653346664
as_is___paras_count	0.277471791581	3.38118855194	9.24651957116	0.00745969718198	0.0183052247771
as_is___sent_count	5.53545240232	9.50880682641	762.241335954	0.0333011690893	0.00927076296513
as_is___word_count	11.1525789864	17.4558776413	4234.6098706	0.0472417904465	0.0395499790591
as_is___ttr	25.6547243793	9.13388832019	0.89069534811	0.0715472762539	0.036435820183
as_is___max_wordlength	2.30939030631	24.3613257159	119.06158668	0.0215165173625	0.0619774449365
as_is___average_wordlength	24.6842109404	22.1786355375	25.0841322604	0.070187715659	0.078173338762
as_is___median_wordlength	13.5803925142	12.0930907598	12.6113861704	0.0521181970078	0.013823103774
as_is___spaced_words_count	1.97657912724	0.21906544068	2.89327452241	0.0199064996065	0.00376536996803
as_is___edit_distance	5.48906494287	1.18394645012	3028.41805436	0.0331614966166	0.00686637554886
as_is___lengthening_counts	5.06192975529	0.779756946728	79.9397676533	0.0318464903458	0.0
as_is___longest_sent_len	0.024167551163	20.7861836235	6.29054984646	0.0022016036356	0.0641544138618
as_is___avg_sent_len	1.52641763434	20.467467005	499.2751844	0.0174941998225	0.0651827279976
as_is___median_sent_len	1.65781262856	18.759926621	571.42608336	0.0182313738469	0.042833998187
as_is___shortest_sent_len	5.30681111044	2.51519179461	2830.33784561	0.0326069127714	0.00232870910868
as_is___subj_ratio	4.47700148693	1.87727677101	0.269063392285	0.0299517767551	0.0324975834503
as_is___subj_pos_ratio	127.654086802	13.9859813513	7.37104037835	0.157998035886	0.0469365570492
as_is___subj_neg_ratio	381.555289837	17.4818646234	28.4569599847	0.266618619945	0.074897780202
as_is___mdash_count		0.0			0.0
as_is___pos_type_ratio	60.5787553956	10.0359895792	10.1804199263	0.109562427397	0.0465154379836
as_is___JJR_ratio	12.8719255837	4.99619640174	5.98856848183	0.0507441234767	0.0168209049848
as_is___JJS_ratio	31.8835911829	3.99497491345	13.9926920432	0.0797119300873	0.00431723816573
as_is___RBR_ratio	45.5611267904	4.21200505134	22.3518588178	0.0951581196217	0.0114574390262
as_is___RBS_ratio	15.3293311398	1.6194225887	6.66441332123	0.0553629057613	0.00455411938412
as_is___modal_ratio	75.9055372776	12.5400117894	11.3800664369	0.12245589905	0.0350700479194
as_is___present_ratio	180.476108876	18.6143975551	17.0070724989	0.186901439682	0.0609547622661
as_is___past_ratio	281.551710177	20.088654876	72.8481112188	0.231193000264	0.0665362118544
as_is___rep_punc_len_avg	52.544966955	6.60719264023	1407.83817223	0.102120514037	0.0159304347004
as_is___non_alphanum_ratio	71.8627312639	6.00191128797	3.53594009798	0.119197827592	0.0415909993012
as_is___blacklist_CAPS	15.8076694629	10.7111103312	7829.19400935	0.0562173576754	0.0849961968636
as_is___mixed_case_word_count	0.071328491448	7.77519096894	10.3207800203	0.0037822678052	0.0283086770897
as_is___noise_count	0.0397365405296	0.291500588861	0.266592672195	0.00282304083146	0.0
as_is___urbdict_only	2.00412141035	8.04434255661	532.455166604	0.0200446562122	0.00569923484577
as_is___blacklist	37.4465369523	41.7126556539	15349.2313006	0.0863385872262	0.280610812553
as_is___no_dict	2.04079887427	16.7631864252	161.124621664	0.0202271690669	0.0294858185132
as_is___modified_tokens_count	1.31371144783	1.34532531357	277.370226055	0.0162299300744	0.0
as_is___in_dict	10.1461654688	17.1188039682	3767.88685955	0.0450643802347	0.0378843440286
as_is___polite	147.493707167	10.5012185016	363.183468666	0.169504108307	0.035683273284
as_is___imperative_count	7.11139170293	5.60760332713	1747.52960361	0.0377391116435	0.000185410388168
per_sent___sent_endings_count	11.4303430634	2.97957513228	206.741667852	0.0478251408697	0.0402227251215
per_sent___ellipsis_count	28.8796744713	1.17147899146	34.9836031259	0.0758867385586	0.0167361503211
